link,company,position,skills,location,career,due_date
https://www.jumpit.co.kr/position/21531,메이븐클라우드서비스,클라우드인프라 엔지니어,Network· IBM Containers· Node.js,서울 강남구,경력 5~15년,상시
https://www.jumpit.co.kr/position/19409,파킹클라우드,[SK계열사] 자바 백엔드 개발자(클라우드팀),Java· Spring Boot· NoSql· RDB,서울 금천구,경력 5~10년,상시
https://www.jumpit.co.kr/position/21820,클라우드호스피탈,.NET Core C# 백엔드 개발자,MSSQL· PostgreSQL· Jira· GitHub· Docker· Kubernetes· Terraform· .NET Core· AZURE· C#,서울 서초구,신입~10년,상시
https://www.jumpit.co.kr/position/12546,파킹클라우드,[SK계열사] 웹 프론트엔드 개발자,JavaScript· Vue.js· TypeScript· Superset· REST API· HTML5· CSS 3,서울 금천구,경력 1~10년,상시
https://www.jumpit.co.kr/position/21432,레몬클라우드,Typescript 개발자,TypeScript· Elasticsearch· Redis· AWS· AZURE· Serverless· Node.js· MSA· Angular 2,대구 수성구,신입~3년,상시
https://www.jumpit.co.kr/position/21123,레몬클라우드,"Node.js 백엔드 개발자(Serverless, MSA, CloudNative)",TypeScript· Elasticsearch· GitHub· Redis· AWS· AZURE· Serverless· Node.js· MSA,서울 송파구,신입~10년,상시
https://www.jumpit.co.kr/position/18500,엠투클라우드,백엔드 개발자 채용,Node.js· AngularJS· REST API· AWS· JavaScript· MySQL· MariaDB· RDB· Spring MVC,서울 송파구,경력 2~6년,상시
https://www.jumpit.co.kr/position/16691,엠투클라우드,프론트엔드 개발자 채용,HTML5· CSS 3· JavaScript· AngularJS,서울 송파구,경력 3~10년,상시
https://www.jumpit.co.kr/position/20990,파킹클라우드,[SK계열사] 보안/인프라/서버 엔지니어,Linux· vmware· Windows· HW,서울 금천구,경력 2~7년,상시
https://www.jumpit.co.kr/position/21900,메이븐클라우드서비스,GPU 서버 엔지니어(경력) 채용,vmware· Linux· Windows· XenServer,서울 강남구,경력 5~30년,상시
https://www.jumpit.co.kr/position/18270,엠투클라우드,UI/UX 개발자 채용,HTML5· CSS 3· JavaScript· jQuery,서울 송파구,경력 2~6년,상시
https://www.jumpit.co.kr/position/16693,엠투클라우드,펌웨어 개발자 채용,MCU· FW· C,서울 송파구,경력 4~10년,상시
https://www.jumpit.co.kr/position/22131,마크클라우드,데이터 엔지니어 (Vision),PyTorch· TensorFlow· RDB· NoSql· Git· Docker· AI/인공지능· DeepLearning,서울 강남구,신입~10년,2024-01-31
https://www.jumpit.co.kr/position/22130,마크클라우드,백엔드개발자,Python· MongoDB· Elasticsearch· Docker· NGINX· MariaDB· AWS· Linux· FastAPI,서울 강남구,경력 3~10년,2024-01-31
https://www.jumpit.co.kr/position/21822,클라우드호스피탈,프론트엔드 웹 개발자 (React / Next.js),Next.js· React· TypeScript· HTML5· CSS 3· TailwindCSS· Git,서울 서초구,신입~10년,상시
https://www.jumpit.co.kr/position/21821,클라우드호스피탈,DevOps 엔지니어 (Kubernetes),Kubernetes· Istio· Redis· Kafka· Terraform· AWS· GCP· ExpressJS· Next.js· Node.js,서울 서초구,신입~10년,상시
https://www.jumpit.co.kr/position/20199,월급쟁이부자들,[월급쟁이부자들]백엔드개발 리드,Java· AWS· Spring· GCP· notion.so· Spring Boot· Kotlin,서울 서초구,경력 7~25년,상시
https://www.jumpit.co.kr/position/20198,월급쟁이부자들,[월급쟁이부자들]백엔드엔지니어(BE),Java· Spring· Spring Boot· AWS· GCP· Jira· notion.so· Kotlin,서울 서초구,경력 3~20년,상시
https://www.jumpit.co.kr/position/21982,로민,백엔드엔지니어,Python· PostgreSQL· FastAPI· Docker· CircleCI· AWS· GCP· Linux,서울 서초구,경력 5~10년,2024-01-31
https://www.jumpit.co.kr/position/3533,블랙탠저린,백엔드개발자,Node.js· AWS· PostgreSQL· MongoDB· RDB· TypeScript· Redis· GitHub,서울 강남구,경력 3~20년,상시
https://www.jumpit.co.kr/position/16929,파인더스,백엔드개발자 채용,Java· Spring Boot· Spring Data JPA· MariaDB· NestJS· MongoDB· AWS· REST API,서울 영등포구,신입~5년,상시
https://www.jumpit.co.kr/position/7601,론픽,백엔드개발 경력자 [리더급] 모십니다. [부산],PHP· Java· REST API,부산 해운대구,경력 3~10년,상시
https://www.jumpit.co.kr/position/20941,비포플레이,백엔드개발자,Node.js· AWS,서울 강남구,경력 7~10년,상시
https://www.jumpit.co.kr/position/14576,롯데헬스케어,서비스백엔드엔지니어 (개발 리더),AWS· GCP· Java· Python,서울 송파구,경력 6~15년,상시
https://www.jumpit.co.kr/position/14572,롯데헬스케어,커머스백엔드엔지니어 (개발 리더),MySQL· Python· AWS· GCP,서울 송파구,경력 6~15년,상시
https://www.jumpit.co.kr/position/21308,올라운드닥터스,플랫폼백엔드개발자,Java· Kotlin· Spring Framework· REST API· Spring Data JPA· MySQL· RabbitMQ· Redis,경기 성남시,경력 5~10년,상시
https://www.jumpit.co.kr/position/22383,다큐브,백엔드개발 시니어,Java· Spring· spring boot· REST API· AWS,서울 영등포구,경력 10~15년,2024-01-29
https://www.jumpit.co.kr/position/16032,크리에이트립,백엔드파트 리더,Node.js· NestJS· AWS· TypeORM· TypeScript· gRPC· GraphQL· Mongoose· Terraform· Redis· Sentry,서울 강남구,경력 5~12년,상시
https://www.jumpit.co.kr/position/22253,데브툴즈,백엔드개발자,Go· Node.js· NoSql· REST API,경기 안양시,신입~10년,2024-02-08
https://www.jumpit.co.kr/position/22225,티니어,백엔드서버 개발자 채용,AWS· Java· Spring Boot· RDB· Spring Data JPA· MySQL,서울 구로구,경력 3~10년,상시
https://www.jumpit.co.kr/position/18846,키다리스튜디오,백엔드개발자,Java· Kotlin· Spring· MySQL· AWS· Git Flow,서울 성동구,경력 7~10년,상시
